Pincode,Pickup,Delivery,city,state,Oda Charge BucketName,Oda Charge BucketValue,Opa Extra Tat,Oda Extra Tat
533101,ACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,XX-XX,0,0,0
533102,ACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,XX-XX,0,0,0
533103,ACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,XX-XX,0,0,0
533104,ACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,XX-XX,0,0,0
533105,ACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,XX-XX,0,0,0
533106,ACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,XX-XX,0,0,0
533107,ACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
533124,ACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,XX-XX,0,0,0
533125,ACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
533126,ACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
533201,ACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
533210,INACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
533211,INACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
533212,INACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
